data,color
"[0, 0, 198, 256]","[190, 164, 157]"
"[49, 255, 54]","[122, 97, 80]"
"[197, 60, 80]","[226, 209, 204]"
"[169, 251, 42]","[119, 118, 102]"
"[88, 112, 50]","[180, 122, 119]"
"[188, 163, 49]","[220, 214, 209]"
"[13, 0, 58]","[222, 211, 204]"
"[78, 186, 29]","[159, 128, 122]"
"[126, 124, 28]","[218, 159, 161]"
"[128, 57, 26]","[213, 160, 155]"
"[114, 0, 24]","[225, 218, 212]"
"[74, 58, 29]","[178, 124, 115]"
"[4, 95, 40]","[206, 191, 182]"
"[73, 141, 25]","[151, 102, 96]"
"[118, 255, 17]","[128, 116, 102]"
"[67, 0, 26]","[227, 218, 211]"
"[176, 13, 41]","[234, 229, 225]"
"[77, 90, 14]","[139, 88, 83]"
"[76, 216, 24]","[156, 116, 105]"
"[126, 183, 19]","[209, 190, 189]"
"[29, 255, 39]","[97, 85, 65]"
"[11, 135, 35]","[204, 188, 179]"
"[197, 237, 21]","[92, 85, 68]"
"[193, 87, 39]","[231, 225, 221]"
"[102, 32, 16]","[195, 144, 135]"
"[143, 98, 14]","[224, 175, 174]"
"[157, 220, 16]","[136, 136, 121]"
"[140, 75, 16]","[223, 173, 169]"
"[23, 59, 23]","[213, 200, 191]"
"[91, 238, 11]","[172, 125, 114]"
"[17, 197, 19]","[175, 160, 146]"
"[103, 94, 10]","[217, 147, 145]"
"[121, 88, 11]","[157, 104, 103]"
"[33, 183, 24]","[185, 171, 159]"
"[138, 249, 19]","[125, 126, 110]"
"[137, 156, 13]","[213, 181, 182]"
"[57, 77, 14]","[171, 122, 111]"
"[123, 218, 16]","[214, 168, 161]"
"[146, 204, 6]","[146, 132, 121]"
"[130, 59, 15]","[234, 177, 171]"
"[99, 71, 13]","[204, 133, 132]"
"[144, 42, 4]","[133, 115, 109]"
"[111, 115, 16]","[223, 152, 154]"
"[147, 49, 4]","[144, 118, 113]"
"[31, 160, 20]","[200, 186, 176]"
"[72, 115, 16]","[170, 106, 100]"
"[1, 213, 13]","[166, 149, 134]"
"[141, 112, 14]","[235, 174, 177]"
"[83, 147, 11]","[138, 83, 81]"
"[193, 186, 29]","[218, 214, 209]"
"[156, 185, 16]","[212, 206, 200]"
